Time,
2019/10/9,107.15
2019/10/9 0:01,107.15
2019/10/9 0:02,107.15
2019/10/9 0:03,107.15
2019/10/9 0:04,107.15
2019/10/9 0:05,107.15
2019/10/9 0:06,107.15
2019/10/9 0:07,107.15
2019/10/9 0:08,107.15
2019/10/9 0:09,107.15
2019/10/9 0:10,107.15
2019/10/9 0:11,107.15
2019/10/9 0:12,107.15
2019/10/9 0:13,107.15
2019/10/9 0:14,107.15
2019/10/9 0:15,107.071
2019/10/9 0:16,107.071
2019/10/9 0:17,107.071
2019/10/9 0:18,107.071
2019/10/9 0:19,107.071
2019/10/9 0:20,107.071
2019/10/9 0:21,107.071
2019/10/9 0:22,107.071
2019/10/9 0:23,107.071
2019/10/9 0:24,107.071
2019/10/9 0:25,107.071
2019/10/9 0:26,107.071
2019/10/9 0:27,107.071
2019/10/9 0:28,107.071
2019/10/9 0:29,107.071
2019/10/9 0:30,107.071
2019/10/9 0:31,107.071
2019/10/9 0:32,107.071
2019/10/9 0:33,107.071
2019/10/9 0:34,107.071
2019/10/9 0:35,107.071
2019/10/9 0:36,107.071
2019/10/9 0:37,107.071
2019/10/9 0:38,107.071
2019/10/9 0:39,107.071
2019/10/9 0:40,107.071
2019/10/9 0:41,107.071
2019/10/9 0:42,107.071
2019/10/9 0:43,107.071
2019/10/9 0:44,107.071
2019/10/9 0:45,107.071
2019/10/9 0:46,107.071
2019/10/9 0:47,107.071
2019/10/9 0:48,107.071
2019/10/9 0:49,107.071
2019/10/9 0:50,107.071
2019/10/9 0:51,107.071
2019/10/9 0:52,107.071
2019/10/9 0:53,107.071
2019/10/9 0:54,107.071
2019/10/9 0:55,107.071
2019/10/9 0:56,107.071
2019/10/9 0:57,107.071
2019/10/9 0:58,107.071
2019/10/9 0:59,107.071
2019/10/9 1:00,107.071
2019/10/9 1:01,107.071
2019/10/9 1:02,107.071
2019/10/9 1:03,107.071
2019/10/9 1:04,107.071
2019/10/9 1:05,107.071
2019/10/9 1:06,107.071
2019/10/9 1:07,107.071
2019/10/9 1:08,107.071
2019/10/9 1:09,107.071
2019/10/9 1:10,107.071
2019/10/9 1:11,107.071
2019/10/9 1:12,107.071
2019/10/9 1:13,107.071
2019/10/9 1:14,107.071
2019/10/9 1:15,107.071
2019/10/9 1:16,107.071
2019/10/9 1:17,107.071
2019/10/9 1:18,107.071
2019/10/9 1:19,107.071
2019/10/9 1:20,107.071
2019/10/9 1:21,107.071
2019/10/9 1:22,107.071
2019/10/9 1:23,107.071
2019/10/9 1:24,107.071
2019/10/9 1:25,107.071
2019/10/9 1:26,107.071
2019/10/9 1:27,107.071
2019/10/9 1:28,107.071
2019/10/9 1:29,107.071
2019/10/9 1:30,107.059
2019/10/9 1:31,107.059
2019/10/9 1:32,107.059
2019/10/9 1:33,107.059
2019/10/9 1:34,107.059
2019/10/9 1:35,107.059
2019/10/9 1:36,107.059
2019/10/9 1:37,107.059
2019/10/9 1:38,107.059
2019/10/9 1:39,107.059
2019/10/9 1:40,107.059
2019/10/9 1:41,107.059
2019/10/9 1:42,107.059
2019/10/9 1:43,107.059
2019/10/9 1:44,107.059
2019/10/9 1:45,107.059
2019/10/9 1:46,107.059
2019/10/9 1:47,107.059
2019/10/9 1:48,107.059
2019/10/9 1:49,107.059
2019/10/9 1:50,107.059
2019/10/9 1:51,107.059
2019/10/9 1:52,107.059
2019/10/9 1:53,107.059
2019/10/9 1:54,107.059
2019/10/9 1:55,107.059
2019/10/9 1:56,107.059
2019/10/9 1:57,107.059
2019/10/9 1:58,107.059
2019/10/9 1:59,107.059
2019/10/9 2:00,107.059
2019/10/9 2:01,107.059
2019/10/9 2:02,107.059
2019/10/9 2:03,107.059
2019/10/9 2:04,107.059
2019/10/9 2:05,107.059
2019/10/9 2:06,107.059
2019/10/9 2:07,107.059
2019/10/9 2:08,107.059
2019/10/9 2:09,107.059
2019/10/9 2:10,107.059
2019/10/9 2:11,107.059
2019/10/9 2:12,107.059
2019/10/9 2:13,107.059
2019/10/9 2:14,107.059
2019/10/9 2:15,107.059
2019/10/9 2:16,107.059
2019/10/9 2:17,107.059
2019/10/9 2:18,107.059
2019/10/9 2:19,107.059
2019/10/9 2:20,107.059
2019/10/9 2:21,107.059
2019/10/9 2:22,107.059
2019/10/9 2:23,107.059
2019/10/9 2:24,107.059
2019/10/9 2:25,107.059
2019/10/9 2:26,107.059
2019/10/9 2:27,107.059
2019/10/9 2:28,107.059
2019/10/9 2:29,107.059
2019/10/9 2:30,107.059
2019/10/9 2:31,107.059
2019/10/9 2:32,107.059
2019/10/9 2:33,107.059
2019/10/9 2:34,107.059
2019/10/9 2:35,107.059
2019/10/9 2:36,107.059
2019/10/9 2:37,107.059
2019/10/9 2:38,107.059
