timestamp,action,price,pnl,balance
2023-10-02 08:30:00,SELL,177.95192037869234,0,1000000
2023-10-02 09:00:00,CLOSE,176.92489140449922,10270.289741931152,1010270.2897419311
2023-10-02 09:15:00,SELL,177.42703901858133,0,1010270.2897419311
2023-10-02 09:30:00,CLOSE,178.8817454656572,-14547.064470758642,995723.2252711725
2023-10-02 09:45:00,BUY,180.9078802821431,0,995723.2252711725
2023-10-02 10:15:00,CLOSE,181.99276893666556,10848.886545224446,1006572.1118163969
2023-10-02 10:30:00,BUY,182.9620293179203,0,1006572.1118163969
2023-10-02 10:45:00,CLOSE,184.3372162994447,13751.869815243936,1020323.9816316409
2023-10-02 11:00:00,BUY,184.2990576692713,0,1020323.9816316409
2023-10-02 11:15:00,CLOSE,186.23562385821936,19365.661889480634,1039689.6435211216
2023-10-02 11:30:00,BUY,186.28206280484392,0,1039689.6435211216
2023-10-02 12:00:00,CLOSE,185.69614279453748,-5859.200103064381,1033830.4434180572
2023-10-02 12:30:00,BUY,187.18745246604706,0,1033830.4434180572
2023-10-02 12:45:00,CLOSE,186.36382419338142,-8236.282726656442,1025594.1606914008
2023-10-02 14:15:00,SELL,185.72523568858443,0,1025594.1606914008
2023-10-02 14:45:00,CLOSE,183.98802867609905,17372.07012485385,1042966.2308162546
2023-10-02 15:00:00,SELL,184.796814456027,0,1042966.2308162546
2023-10-02 15:30:00,CLOSE,184.31767909580662,4791.353602203685,1047757.5844184583
2023-10-02 15:45:00,SELL,184.02698014845663,0,1047757.5844184583
2023-10-02 16:00:00,CLOSE,183.21949705960074,8074.830888558892,1055832.4153070173
2023-10-02 16:45:00,BUY,185.10119974037127,0,1055832.4153070173
2023-10-02 18:15:00,CLOSE,184.3240729174124,-7771.26822958877,1048061.1470774285
2023-10-02 18:30:00,BUY,185.6238099810275,0,1048061.1470774285
2023-10-02 18:45:00,CLOSE,184.19725162394107,-14265.58357086435,1033795.5635065641
2023-10-02 19:00:00,SELL,184.4994099527657,0,1033795.5635065641
2023-10-02 19:30:00,CLOSE,183.3907737324509,11086.362203147928,1044881.9257097121
2023-10-02 19:45:00,SELL,183.87536721759915,0,1044881.9257097121
2023-10-02 20:00:00,CLOSE,183.15116757633066,7241.996412684841,1052123.922122397
2023-10-02 20:30:00,SELL,183.08060488023943,0,1052123.922122397
2023-10-02 21:15:00,CLOSE,184.7797725582403,-16991.676780008616,1035132.2453423884
2023-10-02 21:30:00,SELL,182.71173823869574,0,1035132.2453423884
2023-10-02 21:45:00,CLOSE,181.86491768235996,8468.205563357857,1043600.4509057463
2023-10-02 22:00:00,SELL,182.41716952491086,0,1043600.4509057463
2023-10-02 22:15:00,CLOSE,180.87542727572693,15417.422491839261,1059017.8733975855
2023-10-02 22:45:00,BUY,183.38581709199036,0,1059017.8733975855
2023-10-02 23:00:00,CLOSE,183.1414892987022,-2443.2779328816423,1056574.5954647039
2023-10-02 23:15:00,SELL,181.8529391099272,0,1056574.5954647039
2023-10-02 23:45:00,CLOSE,183.92144587048406,-20685.067605568576,1035889.5278591353
2023-10-03 00:15:00,BUY,183.10859153596505,0,1035889.5278591353
2023-10-03 00:45:00,CLOSE,183.7499126243174,6413.210883523561,1042302.7387426589
2023-10-03 01:00:00,SELL,182.5875133291856,0,1042302.7387426589
2023-10-03 01:45:00,CLOSE,184.99584054383809,-24083.272146524734,1018219.4665961341
2023-10-03 02:00:00,SELL,182.54306145743539,0,1018219.4665961341
2023-10-03 02:45:00,CLOSE,183.31467279405712,-7716.113366217314,1010503.3532299168
2023-10-03 03:15:00,BUY,184.89751187259034,0,1010503.3532299168
2023-10-03 03:45:00,CLOSE,187.13898288509628,22414.7101250594,1032918.0633549761
2023-10-03 04:00:00,BUY,187.1659741812684,0,1032918.0633549761
2023-10-03 04:15:00,CLOSE,186.68941126358334,-4765.6291768507235,1028152.4341781253
2023-10-03 04:30:00,BUY,189.21954259525327,0,1028152.4341781253
2023-10-03 04:45:00,CLOSE,186.12177953426746,-30977.630609858126,997174.8035682673
2023-10-03 05:00:00,SELL,184.31689563758476,0,997174.8035682673
2023-10-03 05:30:00,CLOSE,185.6403099661857,-13234.143286009328,983940.660282258
